Query,Output
"Estimate the work hours for work item ""WORK-321"", and if the estimation is more than 10 hours, assign it to the user ""USER-654"".","var_1 = estimate_work_hours(work_id=""WORK-321"")
if(var_1 > 10):
    temp_1 = assign_task_to_user(task_id=""WORK-321"", user_id=""USER-654"")"
"Summarize all objects related to the part ""PART-XYZ"" and create a report for these summarized objects.","var_1 = search_object_by_name(query=""PART-XYZ"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = generate_report(report_type=""objects"", subject_id=var_1)"
"Find work items with issue priority ""p3"" and ticket severity ""high"", prioritize them, and assign the top three to the user ""USER-333"".","for loop_var in range(0,3):
    temp_1 = works_list(issue.priority=[""p3""], ticket.severity=[""high""], type=[""task""])
    temp_2 = prioritize_objects(objects=tepm_1)
    temp_3 = assign_task_to_user(task_id=temp_2[loop_var], user_id=""USER-333"")"
"Fetch tasks for user ""USER-444"" that are not completed, prioritize them, and mark the one with the highest priority as completed.","var_1 = fetch_user_tasks(user_id=""USER-444"", include_completed=False)
var_2 = prioritize_objects(objects=var_1)
var_3 = mark_task_as_completed(task_id=var_2[0])"
"Extract tasks from the email content ""EmailContent123"", add them to the current sprint, and summarize them for the sprint review.","var_1 = create_actionable_tasks_from_text(text=""EmailContent123"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
var_4 = summarize_objects(objects=var_1)"
"Search for the object by the name ""UrgentIssue"", estimate the work hours required, and if it's less than 5 hours, mark it as a priority.","var_1 = search_object_by_name(query=""UrgentIssue"")
var_2 = estimate_work_hours(work_id=var_1)
if(var_2 < 5):
    temp_1 = search_object_by_name(query=""UrgentIssue"")
    temp_2 = mark_task_as_completed(task_id=var_1)"
"Extract tasks from customer feedback ""CustomerFeedback"" and if the current user is ""USER-321"", add them to sprint id ""SPRINT-789"". If not, summarize the tasks for further analysis.","var_1 = who_am_i()
if(var_1==""USER-321""):
    temp_1 = create_actionable_tasks_from_text(text=""CustomerFeedback"")
    temp_2 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=""SPRINT-789"")
else:
    temp_3 = summarize_objects(objects=temp_1)"
"Identify work items related to part ""PART-987"" with priority ""p1"", summarize them, and assign all to sprint id ""SPRINT-654"" if created by user ""USER-111"".","var_1 = search_object_by_name(query=""PART-987"")
var_2 = search_object_by_name(query=""USER-111"")
var_3 = works_list(applies_to_part=[var_1], created_by=[var_2], issue.priority=[""p1""], type=[""issue""])
var_4 = summarize_objects(objects=var_3)
if(var_2==""USER-111""):
    temp_1 = search_object_by_name(query=""PART-987"")
    temp_2 = search_object_by_name(query=""USER-111"")
    temp_3 = works_list(applies_to_part=[var_1], created_by=[var_2], issue.priority=[""p1""], type=[""issue""])
    temp_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=""SPRINT-654"")"
"Summarize all tickets created by ""USER-222"" with severity ""high"", estimate the work hours for each, and assign tasks requiring less than 5 hours to user ""USER-333"".","var_1 = search_object_by_name(query=""USER-222"")
var_2 = works_list(created_by=[var_1], ticket.severity=[""high""], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
for loop_var in var_2:
    temp_1 = estimate_work_hours(work_id=loop_var)
    if(temp_1 < 5):
        temp_2 = assign_task_to_user(task_id=loop_var, user_id=""USER-333"")"
"Retrieve all tasks assigned to ""USER-444"", prioritize them, and generate a report for the top 10 tasks without including a summary.","var_1 = fetch_user_tasks(user_id=""USER-444"")
var_2 = prioritize_objects(objects=var_1)
for loop_var in var_2:
var_3 = generate_report(report_type=""tasks"", subject_id=loop_var, include_summary=False)"
"Search for work items by name ""UrgentIssue"", summarize the results, and create a report with a summary for the current sprint.","var_1 = search_object_by_name(query=""UrgentIssue"")
var_2 = works_list(type=[""issue""], ticket.rev_org=[var_1])
var_3 = summarize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = generate_report(report_type=""summary"", subject_id=var_4, include_summary=True)"
"Find all work items with type ""task"" and owned by ""USER-555"", summarize them, and create actionable tasks from the summary text.","var_1 = search_object_by_name(query=""USER-555"")
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = create_actionable_tasks_from_text(text=var_3)"
"Retrieve tasks for ""USER-666"" that are not completed, summarize them, and assign the 3 most critical ones to ""USER-777"".","var_1 = fetch_user_tasks(user_id=""USER-666"", include_completed=False)
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
for loop_var in range(0,3):
    temp_1 = assign_task_to_user(task_id=var_3[loop_var], user_id=""USER-777"")"
"Search for object by name ""CriticalComponent"", find all related work items, prioritize them, and assign the 3 with the highest priority to ""USER-CCC"".","for loop_var in range(0,3):
    temp_1 = search_object_by_name(query=""CriticalComponent"")
    temp_2 = works_list(ticket.rev_org=[temp_1], type=[""issue"", ""ticket"", ""task""])
    temp_3 = prioritize_objects(objects=temp_2)
    temp_4 = assign_task_to_user(task_id=temp_3[loop_var], user_id=""USER-CCC"")"
"Retrieve all tickets needing a response, summarize them, and if any are associated with Rev organization ""RevTech"", assign them to ""USER-DDD"".","var_1 = works_list(ticket.needs_response=True, type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
if(""RevTech"" in [item['ticket.rev_org'] for item in var_1]):
    temp_1 = works_list(ticket.needs_response=True, type=[""ticket""])
    temp_2 = assign_task_to_user(task_id=temp_1, user_id=""USER-DDD"")"
"Find all work items created by ""USER-HHH"" and filter by issue priority ""p2"", summarize them, and assign the summarized tasks to ""USER-III"".","var_1 = search_object_by_name(query=""USER-HHH"")
var_2 = works_list(created_by=[var_1], issue.priority=[""p2""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
var_4 = assign_task_to_user(task_id=var_3, user_id=""USER-III"")"
"Retrieve work items related to the ""NewFeature"" type, summarize them, and if the current user is ""DEV-321"", prioritize and add the top 10 to sprint ""SPRINT-789"". Otherwise, add them to sprint ""SPRINT-101"".","var_1 = works_list(work_type=[""NewFeature""])
var_2 = summarize_objects(objects=var_1)
var_3 = who_am_i()
if(var_3==""DEV-321""):
    temp_1 = prioritize_objects(objects=var_1)
    temp_2 = add_work_items_to_sprint(work_ids=temp_1[0:10], sprint_id=""SPRINT-789"")
else:
    temp_1 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-101"")"
"Generate a report for part ""PART-999"" with a summary, find similar work items, and add the 3 most similar to the current sprint.","var_1 = search_object_by_name(query=""PART-999"")
var_2 = generate_report(report_type=""part"", subject_id=var_1, include_summary=True)
var_3 = get_similar_work_items(work_id=var_1)
var_4 = prioritize_objects(objects=var_3)
for loop_var in var_4:
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=loop_var, sprint_id=temp_1)"
"Get the ID of the current sprint, find all tasks with source channel ""Email"", summarize them, and add the prioritized tasks to the current sprint.","var_1 = works_list(ticket.source_channel=[""Email""], type=[""task""])
var_2 = summarize_objects(objects=var_2)
var_3 = prioritize_objects(objects=var_2)
for loop_var in var_3:
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=loop_var, sprint_id=temp_1)"
"Search for the object named ""CriticalBug"", create actionable tasks from the description, and assign all the tasks to the user with ID ""USER-111"".","for loop_var in range(0,50):
    temp_1 = search_object_by_name(query=""CriticalBug"")
    temp_2 = create_actionable_tasks_from_text(text=temp_1)
    temp_3 = assign_task_to_user(task_id=temp_2[loop_var], user_id=""USER-111"")"
"Fetch all tasks for user ""QA-123"", prioritize them, and mark them as completed.","var_1 = fetch_user_tasks(user_id=""QA-123"")
var_2 = prioritize_objects(objects=var_1)
for loop_var in var_2:
    temp_1 = mark_task_as_completed(task_id=loop_var)"
"Create a report for user ""USER-XYZ"" without a summary, find all tasks with priority ""p1"" for this user, and assign the top 2 to ""USER-XYZ"".","var_1 = search_object_by_name(query=""USER-XYZ"")
var_2 = generate_report(report_type=""user"", subject_id=var_1, include_summary=False)
var_3 = works_list(created_by=[var_1], issue.priority=[""p1""], type=[""task""])
var_4 = prioritize_objects(objects=var_3)
for loop_var in var_4:
    temp_1 = search_object_by_name(query=""USER-XYZ"")
    temp_2 = assign_task_to_user(task_id=loop_var, user_id=temp_1)"
"Summarize work items of type ""issue"" with priority ""p0"", and add the 5 with the highest priority to the sprint with ID ""SPRINT-333"".","for loop_var in range(1,5):
    temp_1 = works_list(issue.priority=[""p0""], type=[""issue""])
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = add_work_items_to_sprint(work_ids=temp_2[loop_var], sprint_id=""SPRINT-333"")"
"Extract all tasks from the text ""ReleaseNotes"", prioritize them, and mark the top 10 as completed.","for loop_var in range(0,10):
    temp_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = mark_task_as_completed(task_id=temp_2[loop_var])"
"Retrieve work items owned by ""USER-ABC"", summarize them, and if the current sprint is ""SPRINT-DEF"", assign the top 5 to it. Otherwise, create a new sprint and add them there.","var_1 = works_list(owned_by=[""USER-ABC""])
var_2 = summarize_objects(objects=var_1)
var_3 = get_sprint_id()
if(var_3==""SPRINT-DEF""):
    temp_1 = prioritize_objects(objects=var_1)
    temp_2 = add_work_items_to_sprint(work_ids=temp_1[0:5], sprint_id=""SPRINT-DEF"")
else:
    temp_1 = prioritize_objects(objects=var_1)
    temp_2 = ""Unanswerable_query_error"" "
"Get the user ID of the current user, fetch their tasks, prioritize them, and generate a report for the top 3 tasks with a summary.","var_1 = who_am_i()
var_2 = fetch_user_tasks(user_id=var_1)
var_3 = prioritize_objects(objects=var_2)
var_4 = generate_report(report_type=""tasks"", subject_id=var_3[0:3], include_summary=True)"
"Find team members of ""TeamZeta"", fetch tasks for each member, prioritize the tasks, and assign the top task of each member to the current sprint.","var_1 = find_team_members(team_id=""TeamZeta"")
for loop_var in var_1:
    temp_1 = fetch_user_tasks(user_id=loop_var)
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = get_sprint_id()
    temp_4 = add_work_items_to_sprint(work_ids=[temp_2[0]], sprint_id=temp_3)"
"Search for the object by the name ""UrgentIssue"", get similar work items, summarize them, and assign the top 4 to the user with ID ""DEV-456"".","var_1 = search_object_by_name(query=""UrgentIssue"")
var_2 = get_similar_work_items(work_id=var_1)
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
for loop_var in range(0,4):
    temp_1 = assign_task_to_user(task_id=var_4[loop_var], user_id=""DEV-456"")"
"Summarize all tickets with the source channel ""SupportChat"", prioritize them, and add the top 8 to the sprint with ID ""SPRINT-654"".","var_1 = works_list(ticket.source_channel=[""SupportChat""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = add_work_items_to_sprint(work_ids=var_3[0:8], sprint_id=""SPRINT-654"")"
"Extract tasks from the text ""ClientFeedback"", summarize them, and if the current user is ""USER-321"", assign the tasks to them. Otherwise, assign the tasks to ""USER-654"".","var_1 = create_actionable_tasks_from_text(text=""ClientFeedback"")
var_2 = summarize_objects(objects=var_1)
var_3 = who_am_i()
if(var_3==""USER-321""):
    temp_1 = assign_task_to_user(task_id=var_1, user_id=""USER-321"")
else:
    temp_1 = assign_task_to_user(task_id=var_1, user_id=""USER-654"")"
"Create actionable tasks from the text ""UpdateRequest"", prioritize them, and assign the 6 tasks with the highest priority to the current sprint.","var_1 = create_actionable_tasks_from_text(text=""UpdateRequest"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
for loop_var in range(0,6):
    temp_1 = add_work_items_to_sprint(work_ids=[var_2[loop_var]], sprint_id=var_3)"
"Generate a report for the subject ""ProjectAlpha"", summarize all related issues, and assign the top 3 prioritized issues to ""USER-789"".","var_1 = search_object_by_name(query=""ProjectAlpha"")
var_2 = generate_report(report_type=""project"", subject_id=var_1, include_summary=True)
var_3 = works_list(issue.rev_orgs=[var_1], type=[""issue""])
var_4 = prioritize_objects(objects=var_3)
for loop_var in range(0,3):
    temp_1 = assign_task_to_user(task_id=var_4[loop_var], user_id=""USER-789"")"
"Find all work items with a severity of ""blocker"", summarize them, and add the top 7 to the sprint with ID ""SPRINT-852"".","var_1 = works_list(ticket.severity=[""blocker""], type=[""issue""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = add_work_items_to_sprint(work_ids=var_3[0:7], sprint_id=""SPRINT-852"")"
"Fetch user tasks for ""USER-123"" including completed tasks, prioritize them, and generate a report for the top 5 tasks without a summary.","var_1 = fetch_user_tasks(user_id=""USER-123"", include_completed=True)
var_2 = prioritize_objects(objects=var_1)
var_3 = generate_report(report_type=""tasks"", subject_id=var_2[0:5], include_summary=False)"
"Retrieve all tasks created by user ""USER-789"", summarize them, and if the summary contains ""urgent"", assign them to sprint ""SPRINT-999""; otherwise, add them to sprint ""SPRINT-888"".","var_1 = works_list(created_by=[""USER-789""], type=[""task""])
var_2 = summarize_objects(objects=var_1)
if(""urgent"" in var_2):
    temp_1 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-999"")
else:
    temp_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-888"")"
"Generate a report for the object ""OBJ-321"" without including the summary, then find all tasks linked to this object and assign them to the user with ID ""USER-1122"".","var_1 = generate_report(report_type=""object_report"", subject_id=""OBJ-321"", include_summary=False)
var_2 = search_object_by_name(query=""OBJ-321"")
var_3 = works_list(ticket.source_channel=[var_2], type=[""task""])
for loop_var in range(0,10):
    temp_1 = assign_task_to_user(task_id=var_3[loop_var], user_id=""USER-1122"")"
"Summarize the work items with type ""ticket"" and severity ""high"", estimate the work hours for each, and assign the task with the highest estimated hours to user ""USER-XYZ"".","var_1 = works_list(ticket.severity=[""high""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = estimate_work_hours(work_id=var_1[0])
var_4 = estimate_work_hours(work_id=var_1[1])
if(var_3 > var_4):
    temp_1 = assign_task_to_user(task_id=var_1[0], user_id=""USER-XYZ"")
else:
    temp_2 = assign_task_to_user(task_id=var_1[1], user_id=""USER-XYZ"")"
"Fetch all tasks assigned to user ""USER-555"" that are not completed, prioritize them, and mark the top 3 as completed.","var_1 = fetch_user_tasks(user_id=""USER-555"", include_completed=False)
var_2 = prioritize_objects(objects=var_1)
temp_1 = mark_task_as_completed(task_id=var_2[0])
temp_2 = mark_task_as_completed(task_id=var_2[1])
temp_3 = mark_task_as_completed(task_id=var_2[2])"
"Find work items of type ""issue"" with priority ""p1"" and created by ""USER-222"", summarize them, and if any summary includes ""escalation"", assign them to ""USER-333"".","var_1 = search_object_by_name(query=""USER-222"")
var_2 = works_list(created_by=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
if(""escalation"" in var_3):
    temp_1 = assign_task_to_user(task_id=var_2, user_id=""USER-333"")"
"Search for the object with name ""CriticalComponent"", estimate the work hours needed for similar work items, and assign the one with the longest estimated hours to the current sprint.","var_1 = search_object_by_name(query=""CriticalComponent"")
var_2 = get_similar_work_items(work_id=var_1)
var_3 = estimate_work_hours(work_id=var_2[0])
var_4 = estimate_work_hours(work_id=var_2[1])
if(var_3 > var_4):
    temp_1 = get_sprint_id()
    temp_2 = add_work_items_to_sprint(work_ids=[var_2[0]], sprint_id=temp_1)
else:
    temp_3 = get_sprint_id()
    temp_4 = add_work_items_to_sprint(work_ids=[var_2[1]], sprint_id=temp_3)"
"Extract tasks from the text ""ClientFeedback"", prioritize them, and assign the top 10 tasks to users from team ""TeamAlpha"" evenly.","var_1 = create_actionable_tasks_from_text(text=""ClientFeedback"")
var_2 = prioritize_objects(objects=var_1)
var_3 = find_team_members(team_id=""TeamAlpha"")
for loop_var in range(0,10):
    temp_1 = assign_task_to_user(task_id=var_2[loop_var], user_id=var_3[loop_var % len(var_3)])"
"Fetch tasks for user ""USER-777"", exclude completed tasks, summarize them, and create a report with the type ""task-summary"" for user ""USER-777"".","var_1 = fetch_user_tasks(user_id=""USER-777"", include_completed=False)
var_2 = summarize_objects(objects=var_1)
var_3 = generate_report(report_type=""task-summary"", subject_id=""USER-777"")"
"Prioritize all work items with type ""task"" and source channel ""email"", then assign the top 5 to the user ""USER-444"".","var_1 = works_list(ticket.source_channel=[""email""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
for loop_var in range(0,5):
    temp_1 = assign_task_to_user(task_id=var_2[loop_var], user_id=""USER-444"")"
"Find work items with stage name ""In-Progress"" and owned by ""USER-123"", summarize the list, and generate a report of type ""progress-summary"" for these items.","var_1 = search_object_by_name(query=""USER-123"")
var_2 = works_list(owned_by=[var_1], stage.name=[""In-Progress""], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = generate_report(report_type=""progress-summary"", subject_id=var_3)"
"Extract all tasks from the text ""ReleaseNotes"", create actionable tasks, and assign them to the team members of team ""TeamBeta"".","for loop_var in range(0,10):
    temp_1 = create_actionable_tasks_from_text(text=""ReleaseNotes"")
    temp_2 = find_team_members(team_id=""TeamBeta"")
    temp_3 = assign_task_to_user(task_id=temp_1[loop_var], user_id=temp_2[loop_var % len(temp_2)])"
"Retrieve the current user's ID, fetch all tasks assigned to this user, prioritize them, and mark the task with the highest priority as completed.","var_1 = who_am_i()
var_2 = fetch_user_tasks(user_id=var_1)
var_3 = prioritize_objects(objects=var_2)
var_4 = mark_task_as_completed(task_id=var_3[0])"
"Search for the object with name ""ProjectDelta"", retrieve all tasks related to this object, prioritize them, and assign the top 2 to sprint ""SPRINT-321"".","var_1 = search_object_by_name(query=""ProjectDelta"")
var_2 = works_list(ticket.source_channel=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=[var_3[0], var_3[1]], sprint_id=""SPRINT-321"")"
"Get the sprint ID for ""SprintNext"", find all work items with issue priority ""p3"", and add them to ""SprintNext"".","var_1 = search_object_by_name(query=""SprintNext"")
var_2 = works_list(issue.priority=[""p3""], type=[""issue""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_1)"
"Summarize work items created by ""USER-999"" that apply to part ""PART-77"", prioritize them, and assign the top 3 to the most recent sprint.","var_1 = search_object_by_name(query=""USER-999"")
var_2 = search_object_by_name(query=""PART-77"")
var_3 = works_list(created_by=[var_1], applies_to_part=[var_2], type=[""task""])
var_4 = prioritize_objects(objects=var_3)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=[var_4[0], var_4[1], var_4[2]], sprint_id=var_5)"
"Create actionable tasks from the text ""ProductSpecs"", prioritize them, and assign the top 4 tasks to the user with the least number of tasks.","for loop_var in range(0,4):
    temp_1 = create_actionable_tasks_from_text(text=""ProductSpecs"")
    temp_2 = prioritize_objects(objects=temp_1)
    temp_3 = who_am_i()
    temp_4 = fetch_user_tasks(user_id=temp_3)
    temp_5 = assign_task_to_user(task_id=temp_2[loop_var], user_id=temp_4[loop_var % len(temp_4)])"
"Find all tickets with source channel ""web"" and severity ""low"", summarize them, and if the current sprint is ""SprintCleanup"", add all tickets to it; otherwise, create a new sprint and add them there.","var_1 = works_list(ticket.source_channel=[""web""], ticket.severity=[""low""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = get_sprint_id()
if(var_3 == ""SprintCleanup""):
    temp_1 = works_list(ticket.source_channel=[""web""], ticket.severity=[""low""], type=[""ticket""])
    temp_2 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=""SprintCleanup"")
else:
    temp_1 = works_list(ticket.source_channel=[""web""], ticket.severity=[""low""], type=[""ticket""])
    temp_2 = create_actionable_tasks_from_text(text=""Create New Sprint"")
    temp_3 = add_work_items_to_sprint(work_ids=temp_1, sprint_id=temp_2)"
